timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/02/07 12:29:24.348, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.39 W
2026/02/07 12:29:25.349, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.47 W
2026/02/07 12:29:26.349, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.40 W
2026/02/07 12:29:27.350, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.19 W
2026/02/07 12:29:28.350, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.07 W
2026/02/07 12:29:29.350, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 57.95 W
2026/02/07 12:29:30.351, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.04 W
2026/02/07 12:29:31.351, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 61.79 W
2026/02/07 12:29:32.352, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.41 W
2026/02/07 12:29:33.352, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.67 W
2026/02/07 12:29:34.353, NVIDIA GB10, 89 %, 0 %, [N/A], 77, 58.62 W
2026/02/07 12:29:35.353, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.66 W
2026/02/07 12:29:36.354, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.76 W
2026/02/07 12:29:37.354, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.77 W
2026/02/07 12:29:38.355, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.86 W
2026/02/07 12:29:39.356, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.81 W
2026/02/07 12:29:40.356, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.77 W
2026/02/07 12:29:41.357, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.08 W
2026/02/07 12:29:42.357, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.96 W
2026/02/07 12:29:43.358, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.97 W
2026/02/07 12:29:44.358, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.12 W
2026/02/07 12:29:45.358, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.44 W
2026/02/07 12:29:46.359, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.16 W
2026/02/07 12:29:47.359, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.17 W
2026/02/07 12:29:48.360, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.25 W
2026/02/07 12:29:49.360, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.83 W
2026/02/07 12:29:50.360, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.83 W
